action,actual_profit,ask,bid,closed,date,deal,entry_time,fast_period,order,price,profit,sl,slow_period,symbol,time,tp,trend,trend_time,type,volume,win
TRADE_ACTION_DEAL,-2.22,393356.14,393331.46,True,26/11/2022 21:18,3083137321,TIMEFRAME_M1,8,3085560739,393356.14,999.5,343381.39,34,Volatility 25 (1s) Index,1669493927,493305.64,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,False
TRADE_ACTION_DEAL,-3.5,393469.97,393445.29,TRUE,26/11/2022 21:20,3083138082,TIMEFRAME_M1,8,3085561503,393469.97,999.45,343479.04,34,Volatility 25 (1s) Index,1669494002,493414.84,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,FALSE
TRADE_ACTION_DEAL,-2.86,393405.85,393381.17,True,26/11/2022 21:21,3083138672,TIMEFRAME_M1,8,3085562097,393405.85,999.43,343434.3,34,Volatility 25 (1s) Index,1669494061,493348.95,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,False
TRADE_ACTION_DEAL,-0.73,393208.11,393183.43,TRUE,26/11/2022 21:22,3083139356,TIMEFRAME_M1,8,3085562791,393208.11,998.72,343261.37,34,Volatility 25 (1s) Index,1669494122,493080.02,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,FALSE
TRADE_ACTION_DEAL,-1.15,392886.76,392862.08,True,26/11/2022 21:24,3083140949,TIMEFRAME_M1,8,3085564386,392886.76,997.5,343011.61,34,Volatility 25 (1s) Index,1669494241,492637.06,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,False
TRADE_ACTION_DEAL,0.43,395565.37,395540.69,True,26/11/2022 23:24,3083207312,TIMEFRAME_M1,8,3085631274,395565.37,998.47,345642.6,34,Volatility 25 (1s) Index,1669501608,495412.35,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,False
TRADE_ACTION_DEAL,-1.19,395499.26,395474.58,TRUE,26/11/2022 23:30,3083210234,TIMEFRAME_M1,8,3085634205,395499.26,998.57,345580.17,34,Volatility 25 (1s) Index,1669501829,495356.37,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,FALSE
TRADE_ACTION_DEAL,-1.31,395440.3,395415.62,True,26/11/2022 23:32,3083210885,TIMEFRAME_M1,8,3085634865,395440.3,998.43,345519.77,34,Volatility 25 (1s) Index,1669501829,495283.52,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,False
TRADE_ACTION_DEAL,0.96,395350.42,395325.74,TRUE,26/11/2022 23:34,3083212003,TIMEFRAME_M1,8,3085635979,395350.42,998.33,345447.89,34,Volatility 25 (1s) Index,1669501829,495183.74,4,TIMEFRAME_M2,ORDER_TYPE_BUY,0.01,FALSE
